associated_gene,totalN,novelN
BECN1,380,311
BECN2,1,0
BEGAIN,34,22
BEND3,5,0
BEND4,6,0
BEND5,577,484
BEND6,144,86
BEND7,25,17
BEST1,63,37
BEST3,11,6
BEST4,11,7
BET1,89,46
BET1L,59,40
BEX1,229,209
BEX2,130,109
BEX3,292,250
BEX4,379,355
BEX5,111,93
BFAR,175,71
BFSP1,14,3
BGLAP,15,3
BGN,79,54
BHLHA9,10,1
BHLHE22,99,4
BHLHE23,2,2
BHLHE40,83,44
BHLHE41,5,0
BHMT,9,2
BHMT2,14,3
BICC1,43,29
BICD1,145,24
BICD2,27,3
BICDL1,58,43
BICDL2,13,4
BICRA,5,0
BICRAL,22,5
BID,140,81
BIK,2,0
BIN1,906,731
BIN2,22,8
BIN3,102,71
BIRC2,146,77
BIRC3,18,1
BIRC5,97,38
BIRC6,361,50
BIRC7,1,0
BIVM,151,86
BIVM-ERCC5,3,0
BLACAT1,23,13
BLCAP,209,185
BLID,2,0
BLM,89,23
BLMH,104,62
BLNK,17,7
BLOC1S1,103,84
BLOC1S2,192,151
BLOC1S3,2,0
BLOC1S4,40,2
BLOC1S5,108,60
BLOC1S5-TXNDC5,6,5
BLOC1S6,152,55
BLVRA,167,115
BLVRB,54,41
BLZF1,128,47
BMERB1,187,153
BMF,7,3
BMI1,175,67
BMP1,59,2
BMP2,19,2
BMP2K,25,22
BMP3,10,0
BMP4,23,12
BMP5,6,0
BMP6,16,2
BMP7,51,21
BMP8A,22,8
BMP8B,1,0
BMPER,72,13
BMPR1A,121,40
BMPR1B,39,10
BMPR2,224,108
BMS1,284,141
BMT2,74,23
BMX,4,3
BNIP1,65,38
BNIP2,141,65
BNIP3,278,202
BNIP3L,931,830
BNIP5,2,1
BOC,138,60
BOD1,127,94
BOD1L1,221,37
BOK,68,46
BOLA1,21,16
BOLA2,125,116
BOLA2-SMG1P6,270,205
BOLA2B,23,8
BOLA3,72,38
BOP1,97,67
BORA,76,34
BORCS5,82,33
BORCS6,6,1
BORCS7,142,104
BORCS7-ASMT,2,1
BORCS8,116,84
BORCS8-MEF2B,15,9
BPGM,94,63
BPHL,228,126
BPIFC,1,0
BPNT1,257,202
BPNT2,48,4
BPTF,419,61
BRAF,71,11
BRAP,133,50
BRAT1,127,86
BRCA1,60,25
BRCA2,27,6
BRCC3,151,120
BRD1,69,29
BRD2,82,15
BRD3,117,55
BRD3OS,114,75
BRD4,49,5
BRD7,149,61
BRD8,473,357
BRD9,114,94
BRF1,77,27
BRF2,32,14
BRI3,39,27
BRI3BP,26,19
BRICD5,26,8
BRINP1,96,54
BRINP2,123,67
BRINP3,140,97
BRIP1,34,13
BRIX1,185,134
BRK1,286,275
BRME1,83,44
BRMS1,82,58
BRMS1L,155,101
BROX,179,93
BRPF1,93,12
BRPF3,85,24
BRS3,7,0
BRSK1,93,35
BRSK2,138,61
BRWD1,210,109
BRWD3,70,11
BSCL2,529,426
BSDC1,211,151
BSG,709,695
BSN,71,26
BSPRY,22,8
BST1,12,7
BST2,23,13
BTAF1,162,23
BTBD1,161,74
BTBD10,233,139
BTBD16,23,23
BTBD17,4,0
BTBD19,2,0
BTBD2,40,28
BTBD3,92,16
BTBD6,14,3
BTBD7,30,8
BTBD8,203,26
BTBD9,59,32
BTC,14,9
BTD,76,46
BTF3,274,245
BTF3L4,412,297
BTG1,92,79
BTG2,16,3
BTG3,101,68
BTK,14,0
BTN2A1,217,156
BTN2A2,53,50
BTN3A1,54,44
BTN3A2,12,8
BTN3A3,51,37
BTNL8,2,2
BTNL9,4,1
BTRC,181,68
BUB1,171,151
BUB1B,97,44
BUB1B-PAK6,6,6
BUB3,229,122
BUD13,96,57
BUD23,252,180
BUD31,160,114
BVES,7,2
BYSL,78,46
BZW1,562,458
BZW2,375,291
C10orf105,5,0
C10orf143,57,40
C10orf53,1,0
C10orf67,18,11
C10orf82,18,10
C10orf88,77,35
C10orf90,44,23
C10orf95,10,10
C11orf16,2,1
C11orf21,1,0
C11orf24,55,34
C11orf52,3,1
C11orf54,205,121
C11orf58,778,658
C11orf65,12,12
C11orf68,11,9
C11orf71,3,3
C11orf80,233,189
C11orf87,49,34
C11orf91,5,3
C11orf96,2,2
C11orf97,13,4
C11orf98,100,77
C12orf29,119,55
C12orf4,128,51
C12orf40,2,2
C12orf42,5,3
C12orf43,215,171
C12orf54,2,2
C12orf57,83,59
C12orf60,15,8
C12orf71,2,2
C12orf75,102,66
C12orf76,145,105
C14orf119,59,43
C14orf132,31,13
C14orf28,32,6
C14orf93,77,34
C15orf39,58,1
C15orf40,148,130
C15orf48,2,0
C15orf61,93,76
C15orf62,11,0
C16orf46,47,33
C16orf54,1,0
C16orf74,8,2
C16orf86,16,6
C16orf87,112,66
C16orf89,32,13
C16orf92,1,1
C16orf95,24,17
C17orf100,7,5
C17orf107,11,6
C17orf113,5,0
C17orf114,2,2
C17orf49,211,171
C17orf58,37,20
C17orf67,24,12
C17orf75,371,307
C17orf80,132,43
C17orf97,31,21
C17orf99,3,2
C18orf21,105,51
C18orf25,53,17
C18orf32,380,324
C18orf54,19,6
C19orf12,101,53
C19orf18,5,4
C19orf25,76,40
C19orf33,3,0
C19orf38,14,5
C19orf44,70,35
C19orf47,71,54
C19orf53,73,58
C19orf73,9,5
C19orf81,5,4
C19orf84,1,0
C1D,118,90
C1GALT1,85,36
C1GALT1C1,48,22
C1GALT1C1L,10,0
C1orf109,63,51
C1orf112,105,75
C1orf115,75,50
C1orf122,56,43
C1orf127,2,1
C1orf131,93,47
C1orf141,16,8
C1orf159,97,77
C1orf162,38,16
C1orf167,1,0
C1orf174,53,27
C1orf198,65,32
C1orf21,147,92
C1orf216,41,26
C1orf226,6,0
C1orf35,94,54
C1orf43,322,272
C1orf50,107,73
C1orf52,141,102
C1orf53,35,21
C1orf54,95,76
C1orf56,26,5
C1orf74,14,3
C1orf87,1,0
C1orf94,8,4
C1QA,14,6
C1QB,34,21
C1QBP,99,80
C1QC,35,27
C1QL1,4,0
C1QL2,9,1
C1QL3,11,2
C1QL4,2,0
C1QTNF1,15,2
C1QTNF12,5,1
C1QTNF2,10,5
C1QTNF3,52,21
C1QTNF4,6,5
C1QTNF5,13,5
C1QTNF6,45,31
C1QTNF7,3,2
C1QTNF8,1,1
C1QTNF9B,1,0
C1R,49,19
C1RL,30,10
C1S,52,22
C2,6,2
C20orf202,3,1
C20orf203,2,0
C20orf204,9,0
C20orf85,3,1
C20orf96,118,86
C21orf58,47,30
C21orf62,3,0
C21orf91,43,5
C22orf15,12,7
C22orf23,34,24
C22orf31,6,4
C22orf39,91,50
C22orf42,13,7
C2CD2,6,0
C2CD2L,84,28
C2CD3,69,14
C2CD4C,3,1
C2CD5,347,140
C2CD6,4,1
C2orf15,33,12
C2orf42,90,69
C2orf49,88,50
C2orf50,28,28
C2orf66,5,0
C2orf68,60,33
C2orf69,43,26
C2orf72,48,9
C2orf73,26,19
C2orf74,106,92
C2orf76,131,95
C2orf80,351,313
C2orf81,8,5
C2orf88,23,2
C2orf92,22,13
C3,63,44
C3AR1,5,1
C3orf14,238,163
C3orf18,67,49
C3orf22,1,1
C3orf33,69,47
C3orf38,73,36
C3orf49,4,4
C3orf52,5,0
C3orf62,24,7
C3orf70,26,10
C3orf80,2,2
C4A,16,3
C4B,27,2
C4orf19,7,2
C4orf3,142,112
C4orf33,68,42
C4orf36,36,30
C4orf45,23,22
C4orf46,25,4
C4orf47,34,19
C4orf48,65,51
C4orf50,8,6
C4orf51,1,1
C4orf54,1,0
C5,62,21
C5AR1,7,5
C5AR2,1,1
C5orf15,48,31
C5orf22,88,41
C5orf24,54,24
C5orf34,101,52
C5orf47,11,4
C5orf52,2,0
C5orf58,1,1
C5orf63,96,42
C6,1,0
C6orf118,55,32
C6orf120,135,6
C6orf132,3,0
C6orf136,34,9
C6orf141,46,42
C6orf163,6,2
C6orf226,11,0
C6orf47,26,1
C6orf52,40,31
C6orf58,8,7
C6orf62,120,38
C6orf89,102,43
C7,13,3
C7orf25,32,8
C7orf31,18,11
C7orf33,14,10
C7orf50,155,123
C7orf57,11,9
C8G,9,5
C8orf33,125,89
C8orf34,156,56
C8orf44-SGK3,9,7
C8orf48,34,0
C8orf58,42,8
C8orf76,97,56
C8orf82,2,0
C8orf88,55,25
C8orf89,2,0
C9orf131,1,1
C9orf153,1,1
C9orf24,47,35
C9orf40,27,13
C9orf43,6,3
C9orf50,16,9
C9orf64,62,39
C9orf72,146,64
C9orf78,241,194
C9orf85,82,49
CA1,7,2
CA10,98,49
CA11,570,527
CA12,43,23
CA13,16,11
CA14,119,105
CA2,100,66
CA3,16,1
CA4,92,62
CA5A,7,6
CA5B,29,21
CA7,50,20
CA8,59,16
CA9,26,12
CAAP1,172,72
CAB39,57,21
CAB39L,162,87
CABCOCO1,72,41
CABIN1,111,42
CABLES1,51,11
CABLES2,33,5
CABP1,151,90
CABP7,15,3
CABYR,124,37
CACFD1,81,49
CACHD1,94,24
CACNA1A,42,8
CACNA1B,64,7
CACNA1C,39,7
CACNA1D,73,5
CACNA1E,194,77
CACNA1F,25,11
CACNA1G,195,54
CACNA1H,30,4
CACNA1I,1,0
CACNA1S,13,6
CACNA2D1,149,36
CACNA2D2,27,3
CACNA2D3,230,192
CACNA2D4,4,4
CACNB1,188,105
CACNB2,159,58
CACNB3,213,186
CACNB4,77,17
CACNG1,1,0
CACNG2,20,9
CACNG3,113,85
CACNG4,30,10
CACNG5,4,0
CACNG6,3,3
CACNG7,28,25
CACNG8,30,30
CACTIN,21,5
CACUL1,44,24
CACYBP,292,223
CAD,134,47
CADM1,340,190
CADM2,100,22
CADM3,252,185
CADM4,127,98
CADPS,1658,1463
CADPS2,963,755
CALB1,114,69
CALB2,334,276
CALCB,12,5
CALCOCO1,330,239
CALCOCO2,278,211
CALCR,2,0
CALCRL,36,9
CALD1,177,60
CALHM1,8,0
CALHM2,58,46
CALHM5,2,1
CALHM6,21,1
CALM1,1637,1454
CALM2,1356,1260
CALM3,972,895
CALML3,7,1
CALML4,25,1
CALML6,1,0
CALN1,18,7
CALR,386,332
CALU,270,141
CALY,99,72
CAMK1,154,113
CAMK1D,146,112
CAMK1G,111,65
CAMK2A,598,422
CAMK2B,199,140
CAMK2D,192,106
CAMK2G,336,248
CAMK2N1,508,487
CAMK2N2,3,3
CAMK4,163,65
CAMKK1,101,76
CAMKK2,317,175
CAMKMT,49,28
CAMKV,402,333
CAMLG,179,99
CAMP,1,0
CAMSAP1,94,81
CAMSAP2,301,56
CAMSAP3,100,50
CAMTA1,248,164
CAMTA2,228,185
CAND1,367,98
CAND2,84,22
CANT1,46,20
CANX,580,398
CAP1,415,356
CAP2,392,294
CAPG,108,84
CAPN1,199,168
CAPN10,110,51
CAPN11,2,2
CAPN12,13,6
CAPN13,7,7
CAPN14,7,5
CAPN15,21,3
CAPN2,191,107
CAPN3,97,42
CAPN5,79,11
CAPN6,2,1
CAPN7,155,49
CAPN8,4,1
CAPN9,8,4
CAPNS1,163,145
CAPRIN1,508,287
CAPRIN2,175,103
CAPS,33,7
CAPS2,40,29
CAPSL,18,6
CAPZA1,228,172
CAPZA2,525,445
CAPZB,332,246
CARD10,20,1
CARD11,7,2
CARD14,5,2
CARD16,20,6
CARD19,89,42
CARD6,6,0
CARD8,130,84
CARD9,8,2
CARF,50,19
CARHSP1,215,170
CARM1,50,16
CARMIL1,129,58
CARMIL2,103,47
CARMIL3,61,34
CARNMT1,31,5
CARNS1,6,3
CARS1,243,158
CARS2,143,73
CARTPT,46,16
CASC3,220,170
CASD1,155,65
CASK,190,16
CASKIN1,7,3
CASKIN2,25,9
CASP1,40,13
CASP10,12,1
CASP12,7,5
CASP2,69,34
CASP3,93,52
CASP4,15,8
CASP6,84,56
CASP7,43,19
CASP8,21,14
CASP8AP2,199,137
CASP9,71,54
CASQ1,66,32
CASQ2,3,1
CASS4,3,0
CAST,245,83
CASTOR1,67,43
CASTOR2,141,122
CASZ1,4,1
CAT,204,83
CATIP,1,0
CATSPER2,41,13
CATSPER3,4,2
CATSPERD,8,6
CATSPERE,4,2
CATSPERG,29,20
CATSPERZ,25,7
CAV1,34,6
CAV2,37,2
CAV3,1,0
CAVIN1,14,6
CAVIN2,22,1
CAVIN3,18,9
CAVIN4,14,5
CBARP,1,1
CBFA2T2,108,37
CBFA2T3,40,7
CBFB,101,36
CBL,29,7
CBLB,148,59
CBLL1,80,20
CBLL2,2,0
CBLN1,17,3
CBLN2,57,23
CBLN3,4,0
CBLN4,56,26
CBR1,81,49
CBR3,17,5
CBR4,162,125
CBS,298,237
CBX1,247,214
CBX2,53,44
CBX3,448,322
CBX4,6,0
CBX5,264,171
CBX6,45,38
CBX7,24,18
CBX8,20,7
CBY1,129,102
CC2D1A,118,50
CC2D1B,108,52
CC2D2A,192,48
CC2D2B,7,1
CCAR1,548,247
CCAR2,238,183
CCBE1,24,8
CCDC102A,9,0
CCDC102B,125,91
CCDC103,29,13
CCDC105,1,0
CCDC106,49,21
CCDC107,129,87
CCDC110,34,21
CCDC112,212,97
CCDC113,81,35
CCDC115,183,141
CCDC117,30,1
CCDC12,186,161
CCDC120,19,13
CCDC121,24,4
CCDC122,69,44
CCDC124,129,105
CCDC125,23,14
CCDC126,79,26
CCDC127,50,27
CCDC13,39,12
CCDC134,17,5
CCDC136,380,231
CCDC137,50,23
CCDC138,186,122
CCDC14,347,157
CCDC141,4,1
CCDC142,19,12
CCDC144A,207,139
CCDC146,144,53
CCDC148,56,29
CCDC149,88,59
CCDC15,39,15
CCDC150,53,35
CCDC152,72,21
CCDC153,30,25
CCDC154,9,0
CCDC157,38,19
CCDC158,21,12
CCDC159,81,54
CCDC160,14,7
CCDC163,25,8
CCDC166,1,1
CCDC167,61,49
CCDC169,31,13
CCDC169-SOHLH2,12,12
CCDC17,2,0
CCDC170,7,1
CCDC171,162,64
CCDC174,122,43
CCDC175,10,10
CCDC177,3,3
CCDC178,13,6
CCDC18,122,64
CCDC180,68,13
CCDC181,86,42
CCDC183,18,0
CCDC184,71,34
CCDC185,1,0
CCDC186,168,38
CCDC188,1,1
CCDC190,10,10
CCDC191,124,40
CCDC192,13,13
CCDC196,4,4
CCDC200,1,1
CCDC22,84,52
CCDC24,179,132
CCDC25,208,111
CCDC27,1,1
CCDC28A,168,121
CCDC28B,144,100
CCDC3,86,74
CCDC30,138,50
CCDC32,142,102
CCDC33,2,1
CCDC34,154,118
CCDC39,28,7
CCDC40,66,21
CCDC42,2,0
CCDC43,158,120
CCDC47,174,77
CCDC50,128,21
CCDC51,36,24
CCDC57,90,35
CCDC59,165,107
CCDC6,109,30
CCDC60,2,0
CCDC61,19,6
CCDC62,8,3
CCDC63,2,1
CCDC65,97,67
CCDC66,310,171
CCDC68,23,13
CCDC69,12,3
CCDC7,84,72
CCDC71,17,12
CCDC71L,78,10
CCDC74A,166,125
CCDC74B,86,63
CCDC77,144,83
CCDC78,12,2
CCDC8,61,1
CCDC80,32,1
CCDC81,12,4
CCDC82,297,97
CCDC85A,108,85
CCDC85B,31,16
CCDC85C,29,20
CCDC86,39,17
CCDC87,12,0
CCDC88A,603,153
CCDC88B,17,3
CCDC88C,38,6
CCDC89,18,0
CCDC9,76,37
CCDC90B,565,357
CCDC91,285,198
CCDC92,60,32
CCDC92B,13,10
CCDC93,381,209
CCDC96,40,0
CCDC97,61,27
CCER2,20,8
CCHCR1,36,15
CCIN,2,2
CCK,100,80
CCKBR,41,11
CCL1,2,0
CCL13,1,0
CCL14,1,0
CCL19,1,0
CCL2,7,0
CCL20,3,3
CCL25,5,4
CCL26,2,0
CCL27,17,2
CCL28,18,11
CCL3,6,2
CCL3L1,5,1
CCL4,5,0
CCL4L2,7,1
CCL5,1,0
CCL8,1,0
CCM2,154,105
CCM2L,7,1
CCN1,37,12
CCN2,15,8
CCN3,42,13
CCN5,5,2
CCNA1,75,33
CCNA2,87,37
CCNB1,203,124
CCNB1IP1,147,106
CCNB2,67,42
CCNB3,17,3
CCNC,288,196
CCND1,29,4
CCND2,210,102
CCND3,74,47
CCNDBP1,223,132
CCNE1,24,10
CCNE2,78,39
CCNF,63,24
CCNG1,183,143
CCNG2,149,86
CCNH,313,228
CCNI,488,406
CCNI2,4,3
CCNJ,44,9
CCNJL,25,7
CCNK,14,5
CCNL1,360,209
CCNL2,339,195
CCNO,27,4
CCNP,9,6
CCNQ,51,37
CCNT1,25,6
CCNT2,169,62
CCNY,146,97
CCNYL1,54,20
CCP110,259,95
CCPG1,242,81
CCR1,1,0
CCR10,8,4
CCR5,1,0
CCR9,1,0
CCRL2,10,1
CCS,154,75
CCSAP,82,27
CCSER1,76,15
CCSER2,143,43
CCT2,420,314
CCT3,439,362
CCT4,431,350
CCT5,316,225
CCT6A,545,416
CCT6B,45,17
CCT7,405,358
CCT8,503,454
CCT8L2,1,0
CCZ1,363,273
CCZ1B,194,128
CD101,33,9
CD109,4,1
CD14,6,1
CD151,131,100
CD163,13,1
CD163L1,25,9
CD164,121,68
CD164L2,1,1
CD177,13,4
CD180,5,1
CD19,3,0
CD1C,2,0
CD1D,9,2
CD2,5,0
CD200,290,244
CD200R1,5,3
CD22,29,6
CD24,639,590
CD244,9,4
CD247,15,8
CD248,20,0
CD27,7,0
CD274,8,2
CD276,100,52
CD28,2,0
CD2AP,60,10
CD2BP2,138,109
CD300A,32,13
CD300C,7,3
CD300LF,2,0
CD300LG,1,1
CD302,45,15
CD320,79,57
CD33,28,14
CD34,33,13
CD36,65,27
CD37,23,6
CD38,69,10
CD3D,1,0
CD3E,1,1
CD4,27,8
CD40,33,21
CD44,26,2
CD46,357,214
CD47,421,271
CD48,2,0
CD5,7,3
CD52,2,0
CD53,43,22
CD55,135,123
CD58,41,15
CD59,148,98
CD5L,5,1
CD6,25,13
CD63,241,194
CD68,41,13
CD69,3,2
CD7,1,0
CD72,14,11
CD74,106,88
CD79B,5,1
CD81,38,21
CD82,46,27
CD83,69,33
CD84,2,0
CD86,11,2
CD8A,30,24
CD8B,2,1
CD8B2,3,1
CD9,138,93
CD93,8,1
CD96,1,0
CD99,130,95
CD99L2,350,310
CDA,12,5
CDADC1,118,65
CDAN1,66,26
CDC123,394,324
CDC14A,26,2
CDC14B,28,15
CDC14C,1,0
CDC16,463,304
CDC20,122,94
CDC20B,8,5
CDC23,109,58
CDC25A,28,9
CDC25B,184,82
CDC25C,101,73
CDC26,131,107
CDC27,300,173
CDC34,51,23
CDC37,348,297
CDC37L1,93,30
CDC40,204,68
CDC42,530,427
CDC42BPA,195,29
CDC42BPB,128,27
CDC42EP1,46,32
CDC42EP2,12,7
CDC42EP3,27,8
CDC42EP4,29,20
CDC42SE1,159,104
CDC42SE2,196,153
CDC45,111,76
CDC5L,298,147
CDC6,110,57
CDC7,177,109
CDC73,182,50
CDCA2,51,17
CDCA3,124,71
CDCA4,22,9
CDCA5,52,35
CDCA7,183,111
CDCA7L,116,64
CDCA8,68,34
CDCP1,9,4
CDH1,19,3
CDH10,141,72
CDH11,133,56
CDH12,56,19
CDH13,347,225
CDH18,178,68
CDH19,7,1
CDH2,743,515
CDH20,32,13
CDH22,15,10
CDH23,57,26
CDH24,14,5
CDH26,4,2
CDH3,41,12
CDH4,16,6
CDH5,32,7
CDH6,108,16
CDH7,39,12
CDH8,183,95
CDH9,101,30
CDHR1,24,3
CDHR2,15,9
CDHR3,89,74
CDHR4,1,1
CDIN1,122,60
CDIP1,171,133
CDIPT,89,62
CDK1,259,230
CDK10,344,282
CDK11A,146,51
CDK11B,239,117
CDK12,59,10
CDK13,219,48
CDK14,163,47
CDK15,1,0
CDK16,279,207
CDK17,167,72
CDK18,92,38
CDK19,43,9
CDK2,76,36
CDK20,273,176
CDK2AP1,99,72
CDK2AP2,57,40
CDK3,44,9
CDK4,158,112
CDK5,220,218
CDK5R1,147,137
CDK5R2,32,0
CDK5RAP1,219,176
CDK5RAP2,276,65
CDK5RAP3,436,327
CDK6,16,1
CDK7,101,58
CDK8,80,44
CDK9,112,75
CDKAL1,200,112
CDKL1,96,53
CDKL2,101,23
CDKL3,132,101
CDKL4,17,15
CDKL5,89,39
CDKN1A,29,8
CDKN1B,169,128
CDKN1C,22,4
CDKN2A,22,4
CDKN2AIP,73,29
CDKN2AIPNL,94,73
CDKN2B,6,0
CDKN2C,40,12
CDKN2D,27,23
CDKN3,81,53
CDNF,10,4
CDO1,112,78
CDON,95,19
CDPF1,66,51
CDR2,77,60
CDR2L,7,2
CDRT15,2,2
CDRT4,32,14
CDS1,74,27
CDS2,130,59
CDT1,52,1
CDV3,65,29
CDX1,4,1
CDY2A,1,0
CDYL,50,6
CDYL2,12,4
CEACAM1,2,1
CEACAM19,46,26
CEACAM21,10,5
CEACAM4,1,0
CEBPA,12,0
CEBPB,16,6
CEBPD,5,1
CEBPG,41,21
CEBPZ,194,102
CEBPZOS,404,361
CECR2,32,13
CELF1,152,96
CELF2,355,158
CELF3,377,331
CELF4,166,135
CELF5,166,118
CELF6,132,64
CELSR1,45,8
CELSR2,162,90
CELSR3,50,20
CEMIP,39,8
CEMIP2,61,6
CENATAC,298,232
CEND1,77,70
CENPA,30,12
CENPB,23,5
CENPC,189,86
CENPE,110,33
CENPF,285,40
CENPH,91,53
CENPI,29,18
CENPJ,204,55
CENPK,204,151
CENPL,62,23
CENPM,52,31
CENPN,178,119
CENPO,127,67
CENPP,41,19
CENPQ,58,38
CENPS,77,39
CENPS-CORT,43,27
CENPT,256,213
CENPU,211,121
CENPV,116,89
CENPVL1,22,0
CENPVL2,14,0
CENPVL3,12,1
CENPW,44,18
CENPX,197,160
CEP104,112,46
CEP112,141,57
CEP120,63,34
CEP126,158,33
CEP128,128,44
CEP131,61,19
CEP135,152,25
CEP152,58,10
CEP162,149,34
CEP164,95,34
CEP170,350,190
CEP170B,42,37
CEP19,33,20
CEP192,147,70
CEP20,84,37
CEP250,151,49
CEP290,679,299
CEP295,152,51
CEP350,184,62
CEP41,113,32
CEP43,193,109
CEP44,136,68
CEP55,65,23
CEP57,384,204
CEP57L1,279,176
CEP63,419,124
CEP68,181,72
CEP70,261,109
CEP72,82,48
CEP76,140,71
CEP78,276,91
CEP83,159,105
CEP85,77,28
CEP85L,79,16
CEP89,186,126
CEP95,1024,678
CEP97,85,22
CEPT1,183,90
CERCAM,143,72
CERK,52,11
CERKL,8,3
CERS1,39,22
CERS2,105,78
CERS3,4,4
CERS4,200,138
CERS5,337,262
CERS6,105,45
CERT1,152,28
CES1,4,1
CES2,125,47
CES3,7,0
CES4A,203,133
CES5A,7,1
CETN2,126,82
CETN3,130,81
CETP,11,5
CFAP100,32,15
CFAP126,11,5
CFAP157,4,1
CFAP161,9,4
CFAP20,147,115
CFAP206,35,18
CFAP20DC,34,13
CFAP221,140,73
CFAP251,42,14
CFAP298,226,140
CFAP298-TCP10L,57,10
CFAP299,3,1
CFAP300,66,39
CFAP36,497,380
CFAP410,112,92
CFAP43,40,10
CFAP44,34,8
CFAP45,19,5
CFAP46,74,31
CFAP47,6,2
CFAP52,45,20
CFAP53,27,6
CFAP54,14,1
CFAP57,37,12
CFAP58,20,4
CFAP61,27,9
CFAP65,34,15
CFAP69,67,34
CFAP70,23,7
CFAP73,6,3
CFAP74,42,27
CFAP77,9,5
CFAP91,46,21
CFAP92,35,26
CFAP97,83,31
CFAP97D2,11,6
CFAP99,4,2
CFB,3,0
CFC1,29,7
CFC1B,16,2
CFD,10,1
CFDP1,232,181
CFH,67,15
CFHR1,6,2
CFHR5,2,2
CFI,29,16
CFL1,622,577
CFL2,329,255
CFLAR,124,41
CFP,15,1
CFTR,2,0
CGA,1,0
CGAS,12,0
CGB2,1,0
CGB7,2,1
CGB8,1,0
CGGBP1,93,28
CGN,21,3
CGNL1,86,26
CGREF1,73,63
CGRRF1,140,61
CH25H,17,0
CHAC1,16,9
CHAC2,24,18
CHAD,17,4
CHADL,18,6
CHAF1A,168,54
CHAF1B,118,77
CHAMP1,12,1
CHCHD1,29,16
CHCHD10,19,12
CHCHD2,219,203
CHCHD3,237,186
CHCHD4,31,10
CHCHD5,117,105
CHCHD6,133,98
CHCHD7,150,66
CHD1,162,29
CHD1L,215,103
CHD2,1068,648
CHD3,671,258
CHD4,631,248
CHD5,130,32
CHD6,183,50
CHD7,106,31
CHD8,481,156
CHD9,356,123
CHDH,19,3
CHEK1,202,87
CHEK2,103,61
CHERP,80,50
CHFR,138,109
CHGA,111,69
CHGB,149,112
CHI3L1,67,50
CHI3L2,17,4
CHIC1,33,3
CHIC2,94,37
CHID1,442,389
CHIT1,12,10
CHKA,109,54
CHKB,189,130
CHKB-CPT1B,9,7
CHL1,995,412
CHM,85,32
CHML,14,1
CHMP1A,152,129
CHMP1B,18,18
CHMP2A,165,112
CHMP2B,123,73
CHMP3,150,91
CHMP4A,141,98
CHMP4B,50,22
CHMP4C,2,0
CHMP5,470,372
CHMP6,57,31
CHMP7,115,51
CHN1,990,842
CHN2,109,48
CHODL,33,9
CHORDC1,194,79
CHP1,136,104
CHP2,8,0
CHPF,29,15
CHPF2,59,21
CHPT1,194,131
CHRAC1,57,14
CHRD,93,37
CHRDL1,195,155
CHRDL2,4,0
CHRFAM7A,12,5
CHRM1,33,19
CHRM2,13,9
CHRM3,26,11
CHRM4,5,3
CHRM5,8,5
CHRNA1,9,2
CHRNA10,4,0
CHRNA2,23,10
CHRNA3,9,0
CHRNA4,19,6
CHRNA5,45,11
CHRNA6,2,1
CHRNA7,41,16
CHRNB1,33,16
CHRNB2,45,12
CHRNB3,5,1
CHRNB4,13,6
CHRNE,3,1
CHST1,59,40
CHST10,128,90
CHST11,49,8
CHST12,25,12
CHST13,2,0
CHST14,1,1
CHST15,101,40
CHST2,16,14
CHST3,4,0
CHST4,1,0
CHST5,6,2
CHST6,14,13
CHST7,48,6
CHST8,41,17
CHST9,26,4
CHSY1,17,4
CHSY3,11,3
CHTF18,65,26
CHTF8,71,54
CHTOP,332,213
CHUK,111,55
CHURC1,110,48
CHURC1-FNTB,11,11
CIAO1,184,100
CIAO2A,70,43
CIAO2B,198,187
CIAO3,89,60
CIAPIN1,229,154
CIART,63,33
CIB1,138,110
CIB2,38,24
CIB4,2,2
CIBAR1,428,360
CIBAR2,8,7
CIC,78,30
CIDEA,33,20
CIDEB,30,17
CIDEC,2,2
CILK1,73,49
CILP,1,0
CINP,152,87
CIP2A,140,60
CIPC,50,11
CIR1,182,145
CIRBP,834,683
CISD1,100,55
CISD2,523,463
CISD3,38,12
CISH,9,0
CIT,121,16
CITED1,23,13
CITED2,19,13
CITED4,7,0
CIZ1,314,231
CKAP2,221,88
CKAP2L,64,17
CKAP4,39,34
CKAP5,426,214
CKB,1020,979
CKLF,37,22
CKLF-CMTM1,20,14
CKMT1A,158,94
CKMT1B,207,130
CKMT2,44,15
CKS1B,66,49
CKS2,42,23
CLASP1,150,62
CLASP2,779,466
CLASRP,135,82
CLBA1,68,18
CLC,1,0
CLCA2,2,0
CLCA4,30,10
CLCC1,243,126
CLCF1,8,4
CLCN2,55,18
CLCN3,632,341
CLCN4,155,43
CLCN5,7,2
CLCN6,106,40
CLCN7,81,77
CLCNKB,8,1
CLDN1,12,1
CLDN10,85,55
CLDN11,56,20
CLDN12,49,21
CLDN15,24,3
CLDN16,2,0
CLDN19,2,0
CLDN2,1,0
CLDN20,4,4
CLDN22,4,0
CLDN23,7,0
CLDN24,1,0
CLDN34,2,0
CLDN4,2,1
CLDN5,26,25
CLDN6,3,1
CLDN7,6,2
CLDN9,10,0
CLDND1,593,481
CLDND2,13,10
CLEC11A,33,19
CLEC14A,20,0
CLEC16A,51,28
CLEC18A,11,3
CLEC18B,21,8
CLEC18C,1,0
CLEC19A,2,0
CLEC1A,12,5
CLEC1B,3,1
CLEC2B,18,5
CLEC2D,14,2
CLEC2L,32,6
